,FORMULA,T (K),Cp (J/molK)
4209,O2Ti1,1500.0,76.944
573,Be1F4Li2,800.0,210.1
2494,N0.465V1,300.0,28.971
3654,I1K1,700.0,59.777
4538,W1,1500.0,29.862
1062,Br1Na1,1300.0,64.852
4533,W1,2000.0,32.254
4351,O4Si1Zr1,400.0,114.642
3137,Nb1,2200.0,35.187
1764,Be3N2,1600.0,129.269
3227,Nb1O2,800.0,79.49600000000001
2694,Na2O3Si1,1000.0,169.423
1168,Fe0.877S1,1500.0,72.676
3746,Mg1,1000.0,33.46
2907,N1Ti1,2200.0,62.655
3173,O3Ti2,1700.0,151.921
1561,H3O4P1,298.0,106.064
862,C1Be2,1500.0,88.881
1082,Cr2O3,2200.0,139.947
3342,O4V2,340.0,123.336
1187,Cl1Na1,1100.0,68.325
1765,Be3N2,1500.0,129.047
4324,O4S1Zn1,300.0,99.37
3090,Nb1O1,1900.0,59.73
1464,Cl2Cu1,1000.0,82.37
3052,O1Ti1,1500.0,68.241
232,Br3Zr1,300.0,99.562
3708,Li2O4S1,400.0,139.244
2608,Mo1S2,900.0,77.278
4250,O2Zr1,1000.0,75.747
3715,Li2O5Si2,2000.0,262.755
548,Al1Cl1O1,600.0,72.634
4320,O4S1Zn1,540.0,136.817
3271,O3W1,2300.0,118.826
4210,O2Ti1,1400.0,76.735
4049,O1Pb1,500.0,53.43
4112,O2.72W1,2800.0,118.324
2000,Hf1,2000.0,39.269
4126,O2.72W1,1400.0,100.751
2106,Ca1S1,2000.0,58.032
943,Cu1F2,1200.0,92.55
2912,N1Ti1,1700.0,58.02
3421,Na2O5Si2,980.0,292.88
1546,F1Na1,800.0,55.71
2832,Li2O2,800.0,109.077
342,Br2Hg2,600.0,115.604
3789,Mo2S3,1700.0,166.00599999999997
455,B2Be3O6,400.0,175.017
67,Al2Be1O4,400.0,130.28
345,Br2Hg2,300.0,104.703
2553,C1Na2O3,1900.0,220.204
1311,Co1,1768.0,37.99
16,Be1I2,1200.0,88.78
4079,O1Sr1,1000.0,56.074
4426,S1Sr1,1800.0,60.459
680,Br4Ti1,298.0,131.503
1373,Al1Li1O2,1800.0,113.449
1631,H1Na1,900.0,57.948
3867,N4Si3,900.0,152.298
622,Al1F6Li3,1200.0,326.35200000000003
974,Al2O3,1200.0,128.252
965,Al2O3,2100.0,137.319
3131,Nb1,2750.0,43.423
2418,Al1Na1O2,1900.0,118.233
3429,Na2O5Si2,400.0,183.401
1425,Fe1I2,1300.0,142.256
433,B2Be3O6,2600.0,327.105
508,C0.98Nb1,400.0,41.882
2894,N1Ti1,3400.0,74.279
1541,F1Na1,1269.0,66.149
1134,Cr2N1,1400.0,101.504
2423,Al1Na1O2,1400.0,109.395
3728,Li2O5Si2,1000.0,235.35
365,Br3Ti1,900.0,151.879
1536,F1Na1,1700.0,71.128
2883,Al2Mg1O4,300.0,116.533
1843,Cr1N1,1800.0,58.367
840,Al1H4Li1,400.0,93.722
3092,Nb1O1,1700.0,57.929
2038,I2Sr1,1000.0,97.236
207,Al1Br3,1000.0,124.6
2173,Mg1O3Si1,500.0,101.512
1831,Cu1F1,600.0,59.58
4347,O4Si1Zr1,800.0,142.674
413,Al1F6Na3,900.0,304.691
4114,O2.72W1,2600.0,115.813
816,Cs1,600.0,37.53
1585,Fe3O4,800.0,252.881
2141,I2Mg1,900.0,87.655
1317,Co1,1394.0,54.999
1015,B1N1,400.0,26.276
746,Ba1I2,2100.0,112.968
2101,Ca1S1,2500.0,59.899
3083,Nb1O1,2500.0,65.09100000000001
3116,F2Mg1,1300.0,82.454
1299,Fe1O1,600.0,54.894
1782,Fe1,1800.0,42.468
265,B1Ti1,2100.0,53.53
3221,Nb1O2,1200.0,83.052
2016,Hf1,450.0,27.23
2027,F2Hg2,800.0,116.943
